5,10,15,20,Half,25,30,35,40,Finish
36:23,37:29,39:16,43:35,09:09,34:01,45:32,44:31,47:28,18:35
38:05,38:24,39:53,40:29,10:05,31:18,38:56,43:49,47:16,19:27
28:18,28:59,29:21,30:20,06:27,24:32,34:53,37:20,37:17,14:47
21:00,21:43,21:34,22:22,05:05,18:30,25:08,30:00,35:08,11:11
33:17,31:40,33:35,34:43,07:49,37:50,37:30,45:14,45:16,18:19
20:04,20:32,21:51,23:13,05:13,19:16,26:39,27:47,29:02,13:26
32:05,32:28,33:20,34:26,08:29,27:18,38:18,40:56,39:36,15:10
19:48,19:43,19:32,19:35,04:13,15:11,19:50,20:12,20:16,08:44
30:12,31:11,33:37,33:07,07:27,28:22,39:25,41:30,41:14,18:38
26:16,26:13,26:52,27:41,06:25,23:17,31:07,32:11,32:51,12:44
21:26,21:39,22:13,22:39,04:55,18:10,24:34,25:21,26:13,10:33
34:16,34:29,36:20,37:22,07:49,31:25,42:47,43:35,42:56,17:59
23:57,23:27,23:09,23:19,05:07,18:49,27:15,29:01,33:05,12:51
29:10,30:41,32:56,33:23,07:06,27:34,37:10,39:41,35:48,15:36
24:10,24:51,24:43,24:54,05:29,19:59,26:26,28:06,27:36,12:03
34:40,32:31,33:00,33:19,07:15,26:55,34:19,34:33,34:24,14:27
33:12,32:39,33:26,31:55,07:13,26:38,35:14,33:31,34:43,14:21
20:40,20:25,20:56,21:00,04:35,17:05,21:49,28:03,47:57,21:24
27:43,28:28,29:22,30:09,06:35,24:32,33:58,33:30,41:30,13:31
26:24,27:25,26:36,26:26,05:46,20:49,26:45,26:45,27:04,11:34
27:03,26:32,27:16,28:09,06:20,25:29,34:07,34:34,32:30,14:19
26:53,26:46,26:58,26:41,05:48,20:55,27:49,29:01,30:32,13:02
38:42,41:23,44:22,50:44,12:23,42:08,01:03:58,55:55,-,-
23:09,23:46,24:15,23:30,05:11,18:41,25:11,28:11,32:10,14:42
27:37,28:49,28:21,27:57,05:56,21:49,27:45,28:36,28:31,12:07
28:36,29:48,30:43,31:54,07:07,26:49,36:26,36:39,39:46,15:22
30:01,30:36,31:13,30:52,06:56,27:22,35:54,38:37,35:32,15:54
33:02,33:44,34:12,35:42,07:35,29:49,42:48,39:40,40:54,15:56
32:28,30:32,32:28,35:34,09:00,32:48,41:20,45:40,43:26,17:18
23:22,23:09,24:28,24:29,05:30,20:14,28:00,31:34,32:49,13:09
20:36,21:38,21:23,21:25,04:42,17:46,26:34,27:25,24:38,11:42
25:45,25:33,26:08,26:46,05:53,21:36,29:01,30:15,30:29,12:45
30:01,28:55,29:17,29:46,06:30,24:10,31:24,33:04,35:05,14:53
